symbol,timeframe,tf_rule,sharpe,sortino,total_return_pct,max_drawdown_pct,alpha_pct,beta,win_rate,opt_m_var,opt_z_thresh,opt_window
VZ,5Min,5min,3.829567852457719,3.512006435066604,17.820651781264218,-1.932606541129744,17.8807339981181,0.0194937043692204,0.5572609208972845,0.001,1.0,10
KKR,1Min,1min,3.817311156734308,2.5872109515051482,44.7877880095406,-5.2814010526805495,44.98796057119536,0.06494608461628251,0.5472197705207414,0.001,1.5,20
HPE,1Min,1min,3.7897344925155054,3.6167799572906603,51.388434406125704,-3.901362143512409,51.484551042340875,0.031185089190342893,0.5126367408525084,0.001,1.5,10
PANW,5Min,5min,3.784931311365496,3.656194665703486,32.97233505091699,-2.46983530803125,33.09140385786174,0.03863193210433107,0.5837912087912088,0.001,1.0,20
CMCSA,1Min,1min,3.7743393741779805,3.5444267117680353,27.37498409700061,-4.190919674039691,27.58994780682781,0.06974507980742188,0.5191133954384838,0.01,1.0,20
SLB,1Min,1min,3.753604132699322,3.124209680341708,37.72463992010098,-4.540770494807547,37.799393786349114,0.02425392812387295,0.5155346820809249,0.001,1.5,10
CSCO,1Min,1min,3.753299579057804,3.155731556679136,26.017820887403452,-2.440648986086631,26.033536787256228,0.005099031321883855,0.515130674002751,0.001,1.0,20
COP,5Min,5min,3.7507862325126187,4.146962493385041,27.9054818224294,-2.166721003990989,27.44718184058048,-0.1486956511659524,0.54,0.001,1.0,10
NOC,1Min,1min,3.740976584474715,2.467252721662558,21.42126971428018,-1.907902013307356,21.486714314251355,0.02123353216979562,0.5234375,0.001,2.0,20
PLTR,1Min,1min,3.7397769910827536,3.7707878878713275,45.035690327562584,-5.637168017886221,45.29060748305762,0.08270799461255426,0.5310440513354145,0.001,1.0,10
V,1Min,1min,3.73968368619735,3.772491720355741,19.797639013858404,-2.193581982685682,19.918927248380992,0.03935202645730005,0.5098412698412699,0.001,1.0,20
HRL,1Min,1min,3.7031654074114324,3.4209697697021517,21.62725669854588,-2.2483940042826602,21.708619099448484,0.026398070394472724,0.517170045510964,0.01,2.0,10
