entry_z,exit_z,residual_window,measurement_variance,total_return,annual_return,volatility,sharpe,max_drawdown,benchmark_total_return,benchmark_annual_return,benchmark_volatility,beta,daily_var_95,return_minus_spy,annual_return_minus_spy
1.5,0.5,10,0.001,3.1248980099160715,0.09088280669137028,0.09767818002642478,0.9304309997051935,-0.14126352994738434,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.19519017443543502,-0.009136772705481846,-4.233006444023534,-0.04832875141136661
1.75,0.0,10,0.001,3.108827144773528,0.09062142644730309,0.09751860571038241,0.9292731965060795,-0.1458097736348305,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.1930606340844763,-0.00912407676366471,-4.249077309166077,-0.0485901316554338
1.0,0.0,40,0.01,2.496127092937122,0.0798637090043508,0.08632056957384494,0.92519905045378,-0.1241566023828159,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.14750200425320573,-0.005694339462947539,-4.861777361002483,-0.059347849098386085
1.5,0.25,40,0.001,2.736250232507018,0.08427606509281671,0.09122953835969157,0.9237804619874395,-0.11648081212013084,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.18114240904100407,-0.007063252749668058,-4.621654221432587,-0.05493549300992018
1.25,0.25,20,0.001,3.3437108909685564,0.09434960047335417,0.10234106296954533,0.9219134307939594,-0.12291042417597275,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.21444489608475323,-0.00965761917754228,-4.014193562971049,-0.04486195762938272
1.75,0.5,40,0.001,2.0948810707528716,0.07181280812088997,0.07810711009802009,0.9194144813547561,-0.12543459461475703,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.13811000940042809,-0.003675939840232531,-5.263023383186734,-0.06739874998184692
1.0,0.25,40,0.01,2.3103903740600344,0.07625106335154319,0.08453273666834618,0.9020299869233488,-0.12979331710212083,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.14027243805684056,-0.005159896788237383,-5.047514079879571,-0.0629604947511937
1.75,0.25,40,0.001,2.2468002666622398,0.07497037432582077,0.08363833347839449,0.896363798845743,-0.1467837119983605,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.15587228215876947,-0.005255796517284127,-5.111104187277366,-0.06424118377691612
1.25,0.25,30,0.001,3.0236707253637753,0.08922020282961807,0.10016572923918692,0.8907258351463513,-0.17056566481113034,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.20593811276019097,-0.009194937370767965,-4.33423372857583,-0.04999135527311882
1.25,0.0,40,0.01,1.9073780580308024,0.06770864879785465,0.07671851931561041,0.8825593794284496,-0.1353060685824241,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.1164346066111909,-0.004008761773673931,-5.450526395908803,-0.07150290930488223
1.0,0.5,20,0.01,2.337203563774828,0.07678416587614434,0.08736034891018009,0.8789361172892098,-0.18917809177109335,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.14275441787026907,-0.006867497421387165,-5.020700890164777,-0.06242739222659255
1.25,0.25,40,0.001,2.8713357301491405,0.08664266128224263,0.0987083501059605,0.8777642538775523,-0.15673706612153604,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.20310713127660382,-0.008736604491218335,-4.486568723790465,-0.05256889682049426
1.25,0.5,20,0.001,2.7983637189573654,0.08537405327618464,0.09767635229004372,0.8740503845052671,-0.12010339131856451,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.19838450088747947,-0.009159912850971652,-4.5595407349822406,-0.05383750482655225
2.0,0.0,30,0.001,1.9341803674585778,0.06831027242324583,0.07834704216165518,0.8718934440728437,-0.08403603046932584,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.1363016671375398,-0.0046911211625997595,-5.423724086481028,-0.07090128567949106
2.0,0.0,10,0.001,2.393760352158677,0.07789557420450177,0.0894472209791756,0.8708551629864142,-0.13020049153733348,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.1610114466152864,-0.008117170106746785,-4.964144101780928,-0.061315983898235116
1.5,0.0,10,0.001,3.0274875672380555,0.08928360110102807,0.1028575648860273,0.8680314491205382,-0.12198760412834897,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.2123847237083076,-0.010166335659622135,-4.33041688670155,-0.04992795700170882
1.25,0.5,30,0.001,2.625733598913568,0.08227938559048464,0.09535400779293024,0.8628833490581926,-0.16700489998349444,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.18969331299198938,-0.008446415529074672,-4.7321708550260375,-0.056932172512252244
